Exoskeleton_Left_Thigh (Ang),Exoskeleton_Left_Thigh (Vel),Exoskeleton_Left_Thigh (Acc),Exoskeleton_Left_Calf (Ang),Exoskeleton_Left_Calf (Vel),Exoskeleton_Left_Calf (Acc),Exoskeleton_Right_Thigh (Ang),Exoskeleton_Right_Thigh (Vel),Exoskeleton_Right_Thigh (Acc),Exoskeleton_Right_Calf (Ang),Exoskeleton_Right_Calf (Vel),Exoskeleton_Right_Calf (Acc),Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Angle_Driver_LT (Output),Angle_Driver_LC (Output),Angle_Driver_RT (Output),Angle_Driver_RC (Output)
-0.31311,-6.28662,0.178711,0.0933838,6.28662,0.0224609,-0.115358,-3.54004,-0.0395508,-0.192258,-3.17383,-0.0556641,91.7139,-0.0610352,0.0654297,98.02,0.305176,0.0634766,97.5531,0,-0.0102539,96.2708,0.305176,-0.119629,-5.10151,-4.07656,8.5365,0
-0.411987,-7.87354,0.178711,0.148315,7.69043,0.0244141,-0.15381,-4.27246,-0.0429688,-0.252683,-3.84521,-0.0488281,91.7194,0,0.0644531,98.0255,0.305176,0.0634766,97.5531,0,-0.0102539,96.2708,0.305176,-0.117188,-5.09213,-4.07656,8.5365,0
-0.411987,-7.87354,0.178711,0.148315,7.69043,0.0244141,-0.15381,-4.27246,-0.0429688,-0.252683,-3.84521,-0.0488281,91.7194,0,0.0644531,98.0255,0.305176,0.0634766,97.5531,0,-0.0102539,96.2708,0.305176,-0.117188,-4.9911,-3.97553,8.32279,0
-0.411987,-7.87354,0.178711,0.148315,7.69043,0.0244141,-0.15381,-4.27246,-0.0429688,-0.252683,-3.84521,-0.0488281,91.7194,0,0.0644531,98.0255,0.305176,0.0634766,97.5531,0,-0.0102539,96.2708,0.305176,-0.117188,-5.05327,-3.97553,8.32279,0
-0.532837,-9.46045,0.17627,0.219727,9.0332,0.0288086,-0.208742,-5.24902,-0.0439453,-0.324094,-4.69971,-0.0541992,91.7194,0,0.0644531,98.0255,0.366211,0.0620117,97.5531,0,-0.00732422,96.2708,0.366211,-0.117188,-4.79682,-3.71908,7.86429,0
-0.532837,-9.46045,0.17627,0.219727,9.0332,0.0288086,-0.208742,-5.24902,-0.0439453,-0.324094,-4.69971,-0.0541992,91.7194,0,0.0644531,98.0255,0.366211,0.0620117,97.5531,0,-0.00732422,96.2708,0.366211,-0.117188,-4.79682,-3.53257,7.86817,0
-0.532837,-9.46045,0.17627,0.219727,9.0332,0.0288086,-0.208742,-5.24902,-0.0439453,-0.324094,-4.69971,-0.0541992,91.7194,0.12207,0.0644531,98.031,0.366211,0.0629883,97.5531,0.183105,-0.00537109,96.2708,0.366211,-0.117676,-4.78905,-3.39657,7.93583,0
-0.653687,-11.3525,0.17627,0.307617,10.376,0.0249023,-0.27466,-6.5918,-0.034668,-0.422971,-5.85938,-0.0561523,91.7194,0.12207,0.0644531,98.0365,0.366211,0.0629883,97.5531,0.0610352,-0.00683594,96.2708,0.366211,-0.121094,-4.6686,-3.36937,8.10452,0
-0.653687,-11.3525,0.17627,0.307617,10.376,0.0249023,-0.27466,-6.5918,-0.034668,-0.422971,-5.85938,-0.0561523,91.7194,0.12207,0.0644531,98.0365,0.366211,0.0629883,97.5531,0.0610352,-0.00683594,96.2708,0.366211,-0.121094,-4.6686,-3.37715,8.10452,0
-0.653687,-11.3525,0.17627,0.307617,10.376,0.0249023,-0.27466,-6.5918,-0.034668,-0.422971,-5.85938,-0.0561523,91.7194,0.12207,0.0654297,98.0365,0.366211,0.0629883,97.5531,0.0610352,-0.00683594,96.2708,0.427246,-0.121094,-4.60643,-3.37715,8.10452,0
